Parameters: 1244650
Epoch	Loss(Tr)	Loss(val)	mIOU (tr)	mIOU (val	
0		0.3056		0.2001		0.5255		0.4709		0.0005000
1		0.1798		0.1038		0.7154		0.7471		0.0004995
2		0.1296		0.0594		0.7774		0.8408		0.0004991
3		0.1131		0.0586		0.8047		0.7903		0.0004987
4		0.0865		0.0365		0.8447		0.8658		0.0004982
5		0.0718		0.0300		0.8551		0.8791		0.0004978
6		0.0735		0.0264		0.8559		0.8814		0.0004973
7		0.0689		0.0311		0.8503		0.8574		0.0004968
8		0.0587		0.0240		0.8809		0.8817		0.0004964
9		0.0594		0.0350		0.8902		0.8451		0.0004959
10		0.0611		0.0213		0.8799		0.8899		0.0004955
11		0.0594		0.0201		0.8839		0.8923		0.0004951
12		0.0555		0.0197		0.8901		0.8923		0.0004946
13		0.0498		0.0191		0.8864		0.9000		0.0004941
14		0.0536		0.0168		0.8722		0.9072		0.0004937
15		0.0492		0.4914		0.8864		0.5096		0.0004932
16		0.0566		0.0214		0.8853		0.8988		0.0004928
17		0.0393		0.0151		0.9174		0.9117		0.0004923
18		0.0401		0.0187		0.9085		0.8966		0.0004919
19		0.0556		0.0215		0.8850		0.8887		0.0004914
20		0.0419		0.0173		0.9121		0.9049		0.0004910
21		0.0427		0.0140		0.9047		0.9156		0.0004905
22		0.0367		0.0130		0.9157		0.9179		0.0004901
23		0.0372		0.0135		0.9098		0.9173		0.0004896
24		0.0377		0.0169		0.9132		0.9133		0.0004892
25		0.0387		0.0304		0.9097		0.8816		0.0004887
26		0.0488		0.0625		0.8932		0.7952		0.0004883
27		0.0402		0.0149		0.9141		0.9112		0.0004878
28		0.0446		0.0166		0.8883		0.9053		0.0004874
29		0.0376		0.0129		0.9134		0.9185		0.0004869
30		0.0454		0.0129		0.9046		0.9168		0.0004865
31		0.0484		0.0138		0.8949		0.9132		0.0004860
32		0.0354		0.0159		0.9236		0.9104		0.0004856
33		0.0403		0.0140		0.9116		0.9154		0.0004851
34		0.0422		0.0481		0.8955		0.8224		0.0004847
35		0.0468		0.0148		0.8892		0.9128		0.0004842
36		0.0322		0.0135		0.9149		0.9157		0.0004838
37		0.0327		0.0125		0.9265		0.9191		0.0004833
38		0.0307		0.0132		0.9204		0.9192		0.0004829
39		0.0386		0.0212		0.9112		0.8990		0.0004824
40		0.0396		0.0128		0.9056		0.9170		0.0004820
41		0.0359		0.0134		0.9204		0.9167		0.0004815
42		0.0306		0.0135		0.9307		0.9175		0.0004811
43		0.0306		0.0120		0.9265		0.9201		0.0004806
44		0.0389		0.0169		0.9032		0.9071		0.0004802
45		0.0415		0.0127		0.9046		0.9179		0.0004797
46		0.0306		0.0114		0.9242		0.9217		0.0004793
47		0.0351		0.0556		0.9204		0.8266		0.0004788
48		0.0363		0.0125		0.9264		0.9194		0.0004783
49		0.0276		0.0137		0.9356		0.9164		0.0004779
50		0.0321		0.0121		0.9259		0.9193		0.0004774
51		0.0322		0.0110		0.9203		0.9230		0.0004770
52		0.0317		0.0118		0.9132		0.9216		0.0004765
53		0.0338		0.0164		0.9233		0.9078		0.0004761
54		0.0483		0.0230		0.8953		0.8967		0.0004756
55		0.0273		0.0108		0.9249		0.9239		0.0004752
56		0.0342		0.0114		0.9135		0.9226		0.0004747
57		0.0269		0.0121		0.9204		0.9223		0.0004743
58		0.0620		0.0167		0.8673		0.9069		0.0004738
59		0.0327		0.0117		0.9100		0.9224		0.0004734
60		0.0355		0.0119		0.9029		0.9213		0.0004729
61		0.0422		0.0124		0.9098		0.9174		0.0004725
62		0.0307		0.0117		0.9206		0.9219		0.0004720
63		0.0256		0.0111		0.9287		0.9235		0.0004716
64		0.0309		0.0172		0.9080		0.9099		0.0004711
65		0.0339		0.0140		0.9066		0.9156		0.0004706
66		0.0265		0.0112		0.9374		0.9225		0.0004702
67		0.0359		0.0125		0.8940		0.9198		0.0004698
68		0.0291		0.0125		0.9266		0.9208		0.0004693
69		0.0394		0.1071		0.9045		0.7245		0.0004688
70		0.0309		0.0111		0.9155		0.9235		0.0004684
71		0.0307		0.0106		0.9150		0.9247		0.0004679
72		0.0324		0.0117		0.9252		0.9225		0.0004675
73		0.0254		0.0113		0.9352		0.9231		0.0004670
74		0.0326		0.0125		0.9119		0.9198		0.0004666
75		0.0291		0.0109		0.9318		0.9229		0.0004661
76		0.0262		0.0133		0.9379		0.9185		0.0004657
77		0.0403		0.0174		0.9131		0.9029		0.0004652
78		0.0274		0.0114		0.9273		0.9217		0.0004648
79		0.0360		0.0177		0.9151		0.8999		0.0004643
80		0.0266		0.0104		0.9279		0.9258		0.0004639
81		0.0269		0.0112		0.9314		0.9235		0.0004634
82		0.0279		0.0118		0.9200		0.9239		0.0004629
83		0.0406		0.0156		0.9139		0.9065		0.0004625
84		0.0272		0.0127		0.9349		0.9207		0.0004620
85		0.0344		0.0117		0.9183		0.9208		0.0004616
86		0.0364		0.0126		0.9162		0.9188		0.0004611
87		0.0284		0.0130		0.9325		0.9197		0.0004607
88		0.0280		0.0124		0.9232		0.9216		0.0004602
89		0.0314		0.0125		0.9131		0.9205		0.0004598
90		0.0317		0.0130		0.9266		0.9213		0.0004593
91		0.0258		0.0130		0.9360		0.9216		0.0004589
92		0.0228		0.0132		0.9433		0.9221		0.0004584
93		0.0319		0.0147		0.9119		0.9084		0.0004579
94		0.0276		0.0119		0.9400		0.9214		0.0004575
95		0.0305		0.0144		0.9205		0.9143		0.0004570
96		0.0296		0.0130		0.9246		0.9186		0.0004566
97		0.0463		0.0141		0.9019		0.9132		0.0004561
98		0.0302		0.0111		0.9284		0.9224		0.0004557
99		0.0264		0.0139		0.9259		0.9212		0.0004552
100		0.0320		0.0125		0.9298		0.9197		0.0004548
101		0.0343		0.0187		0.9131		0.8990		0.0004543
102		0.0294		0.0144		0.9157		0.9213		0.0004539
103		0.0302		0.0102		0.9171		0.9265		0.0004534
104		0.0440		0.0664		0.8985		0.7796		0.0004529
105		0.0334		0.0146		0.9213		0.9166		0.0004525
106		0.0311		0.0120		0.9265		0.9214		0.0004520
107		0.0269		0.0132		0.9295		0.9192		0.0004516
108		0.0273		0.0101		0.9268		0.9261		0.0004511
109		0.0294		0.0117		0.9275		0.9222		0.0004507
110		0.0249		0.0142		0.9301		0.9171		0.0004502
111		0.0455		0.0286		0.9043		0.8685		0.0004498
112		0.0249		0.0108		0.9344		0.9234		0.0004493
113		0.0361		0.0157		0.9033		0.9076		0.0004488
114		0.0323		0.0111		0.9294		0.9213		0.0004484
115		0.0330		0.0127		0.9237		0.9194		0.0004479
116		0.0253		0.0133		0.9436		0.9212		0.0004475
117		0.0328		0.0105		0.9233		0.9247		0.0004470
118		0.0307		0.0123		0.9249		0.9162		0.0004466
119		0.0260		0.0128		0.9397		0.9179		0.0004461
120		0.0317		0.0119		0.9160		0.9210		0.0004457
121		0.0332		0.0124		0.9165		0.9206		0.0004452
122		0.0236		0.0122		0.9384		0.9215		0.0004447
123		0.0244		0.0122		0.9353		0.9225		0.0004443
124		0.0379		0.0184		0.8994		0.9089		0.0004438
125		0.0273		0.0110		0.9226		0.9238		0.0004434
126		0.0267		0.0110		0.9376		0.9248		0.0004429
127		0.0287		0.0112		0.9170		0.9239		0.0004425
128		0.0271		0.0114		0.9295		0.9239		0.0004420
129		0.0303		0.0110		0.9051		0.9235		0.0004416
130		0.0224		0.0115		0.9472		0.9226		0.0004411
131		0.0315		0.0105		0.9173		0.9245		0.0004406
132		0.0277		0.0116		0.9366		0.9210		0.0004402
133		0.0277		0.0121		0.9287		0.9226		0.0004397
134		0.0341		0.0119		0.9096		0.9213		0.0004393
