0.468649,-0.819224,4.168,1.58404,-0.772791,4.032,
0.865642,-0.656824,4.215,-0.943054,-0.484655,3.143,
0.460931,-1.21893,4.49,1.21376,-1.25558,4.625,
0.730399,-1.22818,4.268,1.3304,-1.37374,4.801,
0.895409,-1.34722,4.578,1.90174,-1.33361,4.557,
0.481376,-0.815697,4.22,0.763757,-0.795674,4.26,
0.827238,-0.627684,4.028,1.03779,-0.658902,4.273,
0.878393,-1.32161,4.491,-0.430787,-1.3972,4.801,
0.867916,-1.01857,4.096,-0.918498,-0.987308,4.023,
0.855714,-1.16757,4.2,0.70946,-1.19592,4.353,
0.460159,-0.779745,4.034,1.54174,-0.77812,4.13,
0.544951,-1.1945,4.4,0.496091,-1.17357,4.349,
0.461527,-0.768884,4.046,-0.563561,-0.71538,3.797,
0.828503,-0.609296,3.91,1.09361,-0.641397,4.116,
0.467094,-0.497157,3.981,-0.666341,-0.392505,3.143,
0.420854,-0.573284,3.798,-1.34733,-0.445435,2.951,
0.476995,-0.577351,3.705,-0.901164,-0.441623,2.834,
0.8427,-0.619736,3.977,1.5962,-0.580722,3.766,
0.514974,-0.623321,4,1.2681,-0.697761,4.298,
0.790786,-0.581558,3.732,1.40762,-0.592454,3.925,
1.02422,-1.08946,4.189,-0.831192,-1.04542,4.045,
0.800713,-1.18817,4.06,0.241661,-1.34822,4.364,
0.815323,-0.920612,3.678,1.6655,-0.777841,3.77,
0.960028,-1.81563,4.75,-3.3285e+38,0,0,
0.379156,-0.965004,4.012,1.3703,-0.971447,3.856,
0.674666,-0.542162,3.631,1.09778,-0.726623,4.345,
0.854509,-1.143,4.064,0.140684,-1.13813,4.322,
1.05467,-0.646794,4.285,-1.08493,-0.455709,3.052,
0.462655,-0.832782,3.687,-0.0974573,-1.10072,4.259,
0.464893,-0.562703,3.611,1.35999,-0.621296,3.827,
0.436921,-1.07686,3.943,1.16303,-1.27748,4.247,
0.670872,-0.243979,3.43,0.469868,-0.279837,3.604,
0.714309,-1.18097,4.058,0.371927,-1.1665,3.623,
0.626913,-0.503788,3.374,0.478176,-0.584141,3.493,
0.67554,-1.16204,3.573,1.08959,-1.37956,3.909,
0.446998,-0.541042,3.472,0.686246,-0.589161,3.423,
0.724268,-0.263398,3.703,-0.652984,-0.244167,3.08,
